role,name,team
student,datletu,CS2103T-F14-1
student,lilduckling,CS2103T-F14-1
student,jodielzy,CS2103T-F14-1
student,vrisdng,CS2103T-F14-1
student,davidfoo07,CS2103T-F14-2
student,chen-xiangrui,CS2103T-F14-2
student,chenxy12345,CS2103T-F14-2
student,wyongqiing,CS2103T-F14-2
student,wj200,CS2103T-F14-2
student,bryantjandra,CS2103T-F14-3
student,LsmnBmnc,CS2103T-F14-3
student,Prog-Neuro-Com,CS2103T-F14-3
student,hzk-lab,CS2103T-F14-3
student,caando,CS2103T-F14-4
student,juneha1120,CS2103T-F14-4
student,CHI-ME,CS2103T-F14-4
student,arshinsikka,CS2103T-F14-4
student,sivaramjeychand,CS2103T-T08-1
student,Clifong,CS2103T-T08-1
student,ziliangstanley,CS2103T-T08-1
student,Jensen188,CS2103T-T08-1
student,SanShaoQian,CS2103T-T08-1
student,LuBolin,CS2103T-T08-2
student,Ben926,CS2103T-T08-2
student,jaylontan,CS2103T-T08-2
student,pastchum,CS2103T-T08-2
student,isawangyx,CS2103T-T08-2
student,loyaltypollution,CS2103T-T08-3
student,WhiteBear82,CS2103T-T08-3
student,Jsjk112344,CS2103T-T08-3
student,rannn367,CS2103T-T08-3
student,findingfaey,CS2103T-T08-3
student,Mingyuan03,CS2103T-T08-4
student,DESU-CLUB,CS2103T-T08-4
student,advaypakhale,CS2103T-T08-4
student,Timothy-Ho0203,CS2103T-T08-4
student,itsvari,CS2103T-T09-1
student,TrKNguyen,CS2103T-T09-1
student,ChauuuLe,CS2103T-T09-1
student,Stickiem,CS2103T-T09-1
student,keyansheng,CS2103T-T09-1
student,limshaoqi,CS2103T-T09-2
student,zhenglong1603,CS2103T-T09-2
student,awlarpi,CS2103T-T09-2
student,mervyn-teo,CS2103T-T09-2
student,DiligentPenguinn,CS2103T-T09-2
student,Frozennfishh,CS2103T-T09-3
student,Jasonzhou97,CS2103T-T09-3
student,geeliette,CS2103T-T09-3
student,CVincent0907,CS2103T-T09-3
student,caroline1233456,CS2103T-T09-3
student,waylonggggg,CS2103T-T09-4
student,Judy1x4,CS2103T-T09-4
student,thegrimbee,CS2103T-T09-4
student,Nova1729,CS2103T-T09-4
student,luna-ortus-cor,CS2103T-T10-1
student,samuelneo,CS2103T-T10-1
student,OvOtter,CS2103T-T10-1
student,kai824,CS2103T-T10-1
student,h-b-k-nishi,CS2103T-T10-1
student,gajinkee,CS2103T-T10-2
student,jonaturn,CS2103T-T10-2
student,reuben-thomas,CS2103T-T10-2
student,LF1928,CS2103T-T10-2
student,0xF41,CS2103T-T10-3
student,minhkiwi14,CS2103T-T10-3
student,ZaydM18,CS2103T-T10-3
student,VikramGoyal23,CS2103T-T10-3
student,Billy026,CS2103T-T10-3
student,shashwatchan,CS2103T-T11-1
student,veehz,CS2103T-T11-1
student,YosieSYX,CS2103T-T11-1
student,AbiHalim,CS2103T-T11-1
student,varuuuun,CS2103T-T11-2
student,WeiHungLoh,CS2103T-T11-2
student,shuang26,CS2103T-T11-2
student,K1mcheee,CS2103T-T11-2
student,SahanaAvantika,CS2103T-T11-2
student,mhaikelll,CS2103T-T11-3
